노선번호,기점,종점, ,기점 시간,배차간격(분)
,,,평일,11:45 ~ 17:45,365
391,종합터미널,석천리(종점),토요일,11:45 ~ 17:45,60
,,,공휴일,11:45 ~ 17:45,60
,,,평일,07:00 ~ 20:20,60
392,종합터미널,유왕골,토요일,07:00 ~ 20:20,200
,,,공휴일,07:00 ~ 20:20,200
,,,평일,08:10 ~ 21:30,200
392,유왕골,종합터미널,토요일,08:10 ~ 21:30,200
,,,공휴일,08:10 ~ 21:30,200
,,,평일,06:10 ~ 22:45,200
400,병천3리,종합터미널,토요일,06:10 ~ 22:45,16
,,,공휴일,06:10 ~ 22:45,16
,,,평일,06:00 ~ 22:30,16
400,종합터미널,동리입구,토요일,06:00 ~ 22:30,13
,,,공휴일,06:00 ~ 22:30,13
,,,평일,08:54 ~ 22:25,13
401,유관순열사유적지,종합터미널,토요일,08:54 ~ 22:25,65
,,,공휴일,08:54 ~ 22:25,65
,,,평일,07:44 ~ 22:15,65
401,종합터미널,연춘리,토요일,07:44 ~ 22:15,65
,,,공휴일,07:44 ~ 22:15,65
,,,평일,07:10 ~ 18:40,65
402,황사동,종합터미널,토요일,07:10 ~ 18:40,
,,,공휴일,07:10 ~ 18:40,
,,,평일,06:05 ~ 17:30,
402,종합터미널,황사동,토요일,06:05 ~ 17:30,
,,,공휴일,06:05 ~ 17:30,
,,,평일,07:55 ~ 19:00,
410,진천종합터미널,병천중고등학교,토요일,07:55 ~ 19:00,
,,,공휴일,07:55 ~ 19:00,
,,,평일,07:15 ~ 18:15,
410,병천우체국,진천종합터미널,토요일,07:15 ~ 18:15,
,,,공휴일,07:15 ~ 18:15,
,,,평일,11:25 ~ 17:45,
411,사석,병천농협,토요일,11:25 ~ 17:45,
,,,공휴일,11:25 ~ 17:45,
,,,평일,11:00 ~ 17:20,
411,병천우체국,사석,토요일,11:00 ~ 17:20,
,,,공휴일,11:00 ~ 17:20,
,,,평일,07:00 ~ 19:30,
412,바타니(종점),병천농협,토요일,07:00 ~ 19:30,
,,,공휴일,07:00 ~ 19:30,
,,,평일,06:30 ~ 19:00,
412,병천우체국,바타니(종점),토요일,06:30 ~ 19:00,
,,,공휴일,06:30 ~ 19:00,
,,,평일,07:00 ~ 22:00,
413,병천우체국,덕성2리,토요일,07:00 ~ 22:00,
,,,공휴일,07:00 ~ 22:00,
,,,평일,07:30 ~ 22:25,
413,덕성2리,병천농협,토요일,07:30 ~ 22:25,
,,,공휴일,07:30 ~ 22:25,
,,,평일,10:00 ~ 21:00,
414,병천우체국,황사동,토요일,10:00 ~ 21:00,
,,,공휴일,10:00 ~ 21:00,
,,,평일,10:10 ~ 21:10,
414,황사동,병천농협,토요일,10:10 ~ 21:10,
,,,공휴일,10:10 ~ 21:10,
,,,평일,08:40 ~ 20:00,
420,병천우체국,행암리(종점),토요일,08:40 ~ 20:00,
,,,공휴일,08:40 ~ 20:00,
,,,평일,06:45 ~ 20:25,
420,행암리(종점),병천농협,토요일,06:45 ~ 20:25,
,,,공휴일,06:45 ~ 20:25,
,,,평일,06:50 ~ 19:20,
421,병천우체국,광덕2리(종점),토요일,06:50 ~ 19:20,
,,,공휴일,06:50 ~ 19:20,
,,,평일,07:15 ~ 19:45,
