"시간대:","","","","","","","합계","","4","","5","","6","","7","","8","","9","","10","","11","","12","","13","","14","","15","","16","","17","","18","","19","","20","","21","","22","","23","","0",""
"시도코드","시도","시군구","읍면동","월","이용자유형","교통수단","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량","발생량","도착량"
"합계","","","","","","","2,864,590","2,032,840","2,252","4","10,610","2,111","84,585","41,629","194,635","109,966","204,285","151,237","155,963","120,363","148,944","113,337","158,144","120,840","179,396","131,131","197,819","146,099","196,236","140,022","217,778","151,790","244,946","157,841","241,703","160,636","221,889","163,680","135,532","112,015","112,384","82,238","96,657","69,464","55,366","45,608","5,385","10,734","81","2,095"
"","","","병천면","202012","경로","시내","7","4","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","2","0","4","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","어린이","시내","95","56","0","0","0","0","0","0","18","9","1","17","0","1","1","0","1","0","0","1","3","11","26","6","21","2","8","6","14","1","2","0","0","1","0","0","0","0","0","1","0","0","0","0"
"","","","","","일반인","시내","25,083","18,912","0","0","1","1","873","544","1,568","1,140","1,475","1,423","1,573","1,439","2,129","1,942","2,462","1,926","2,154","1,659","2,141","1,545","1,965","1,280","2,072","1,078","2,060","1,350","1,657","1,016","1,272","768","808","742","412","416","304","369","155","243","2","31","0","0"
"","","","","","청소년","시내","4,502","1,974","0","0","0","0","178","77","395","104","420","178","49","38","86","40","94","56","260","153","450","170","201","120","381","116","931","420","443","195","252","115","155","57","107","60","55","49","45","21","0","5","0","0"
"","","","봉명동","202012","경로","도시철도","5,974","5,825","2","0","211","22","202","97","317","416","267","849","651","714","870","577","681","420","592","413","418","471","575","393","484","337","282","250","175","282","112","174","78","178","29","115","13","60","11","31","4","23","0","3"
"","","","","","국가유공자","도시철도","36","20","0","0","17","0","0","0","0","1","4","0","2","1","0","3","0","1","3","2","2","3","0","1","2","1","3","0","1","4","0","2","1","0","0","1","1","0","0","0","0","0","0","0"
"","","","","","어린이","도시철도","101","76","0","0","0","0","0","0","1","0","1","0","2","4","7","2","7","2","8","6","9","15","18","11","20","14","14","7","4","5","9","3","0","5","0","2","0","0","1","0","0","0","0","0"
"","","","","","","시내","246","168","0","0","0","0","0","0","1","5","24","24","5","7","1","7","6","5","24","7","53","6","19","8","45","12","13","18","9","23","19","19","20","17","3","8","4","1","0","1","0","0","0","0"
"","","","","","외국인","도시철도","10","11","0","0","0","0","0","0","0","0","0","0","1","4","1","2","3","1","1","2","2","0","0","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","일반인","도시철도","18,183","17,510","12","0","652","239","967","566","1,654","2,226","1,176","1,986","930","1,351","1,033","922","1,009","615","966","691","736","1,209","1,139","814","1,244","757","1,226","572","2,294","1,173","1,134","1,036","629","1,121","387","640","346","571","281","655","366","311","2","55"
"","","","","","","시내","35,861","23,952","0","0","0","0","1,349","369","2,531","986","3,597","1,702","3,013","1,413","2,714","1,473","2,417","1,538","2,353","1,587","2,455","1,646","2,542","1,714","2,394","1,982","2,554","2,008","2,419","1,910","2,294","2,028","1,161","1,188","789","955","809","817","442","577","28","59","0","0"
"","","","","","장애인","도시철도","1,201","1,244","1","0","19","28","40","9","129","120","75","222","81","70","85","127","87","74","79","53","65","82","97","52","136","58","110","66","101","79","36","69","25","36","7","30","8","35","6","16","14","17","0","1"
"","","","","","청소년","도시철도","1,244","1,367","0","0","5","0","4","8","77","534","16","180","51","83","58","48","64","25","29","30","114","51","63","35","216","76","229","56","88","74","56","50","63","40","53","20","29","19","22","18","7","16","0","4"
"","","","","","","시내","7,898","2,286","0","0","0","0","20","1","584","193","568","467","142","87","296","50","230","35","470","103","854","164","651","121","537","182","1,710","250","769","170","345","142","236","111","205","91","194","71","84","48","3","0","0","0"
"","","","부대동","202012","경로","시내","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","어린이","시내","13","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","6","1","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","일반인","시내","2,166","2,036","0","0","0","0","43","85","113","51","104","239","135","112","170","119","196","129","147","138","193","154","189","153","150","160","211","132","182","133","157","176","36","85","82","64","47","76","11","28","0","2","0","0"
"","","","","","청소년","시내","213","202","0","0","0","0","1","1","9","25","1","10","1","8","23","10","16","16","15","23","26","23","14","14","23","13","43","25","9","12","21","10","1","5","6","1","3","5","1","1","0","0","0","0"
"","","","북면","202012","어린이","시내","58","32","0","0","0","0","0","0","24","0","3","9","1","1","0","0","3","0","8","1","1","2","0","3","4","9","3","3","9","0","2","1","0","2","0","1","0","0","0","0","0","0","0","0"
"","","","","","일반인","시내","9,508","5,874","0","0","0","0","791","120","651","165","952","326","1,119","387","868","366","775","524","784","556","682","505","662","473","553","489","506","468","442","488","328","335","157","281","149","195","59","127","29","66","1","3","0","0"
"","","","","","청소년","시내","1,265","413","0","0","0","0","18","0","482","3","323","3","35","1","31","1","23","3","41","21","47","16","25","58","32","105","64","98","53","42","41","31","21","20","10","8","8","2","11","1","0","0","0","0"
"","","","불당동","202012","경로","시내","10","14","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","3","2","0","1","1","0","0","0","0","6","1","1","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","어린이","시내","826","609","0","0","0","0","0","0","41","5","97","33","14","14","24","10","27","11","61","37","88","95","64","99","82","85","87","30","90","70","72","79","45","29","26","8","4","0","4","4","0","0","0","0"
"","","","","","일반인","시내","117,523","79,221","0","0","31","3","1,967","1,433","5,669","5,106","7,193","7,402","5,336","6,528","4,777","4,635","5,436","4,430","6,360","4,741","6,853","5,540","7,646","5,326","9,160","5,588","10,126","5,626","9,930","5,354","12,608","5,806","6,971","4,434","7,406","2,800","6,402","2,679","3,436","1,567","216","223","0","0"
"","","","","","청소년","시내","21,835","9,826","0","0","0","0","69","12","1,068","293","1,116","624","403","242","474","302","638","346","1,429","567","1,418","854","1,176","827","2,327","1,038","3,063","1,175","2,058","1,297","1,569","705","1,336","559","1,187","390","1,403","404","1,061","182","40","9","0","0"
"","","","사직동","202012","경로","시내","5","4","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","1","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","어린이","시내","40","43","0","0","0","0","0","0","0","13","1","0","0","0","0","2","2","5","5","3","2","4","5","2","14","3","9","5","1","3","1","3","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","일반인","시내","59,726","41,219","0","0","0","0","456","248","913","842","1,238","1,400","1,931","2,601","3,786","4,008","5,901","5,349","7,199","4,794","6,773","4,744","7,501","4,814","7,729","4,388","6,744","3,211","4,974","2,038","2,545","1,360","1,128","671","555","363","277","258","73","117","3","13","0","0"
"","","","","","청소년","시내","1,006","581","0","0","0","0","5","7","80","38","73","24","19","44","20","24","34","25","43","44","116","56","65","47","78","58","262","71","104","75","41","25","37","21","17","5","4","10","8","7","0","0","0","0"
"","","","삼룡동","202012","경로","시내","3","5","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","어린이","시내","164","271","0","0","0","0","0","0","9","3","16","9","7","8","0","1","17","6","31","58","14","58","29","50","37","28","2","44","1","4","0","0","0","1","1","0","0","1","0","0","0","0","0","0"
"","","","","","일반인","시내","16,233","11,639","0","0","0","0","347","314","701","964","1,086","1,555","948","1,221","927","791","1,489","894","1,155","677","1,055","838","1,233","789","1,206","618","1,439","628","1,918","641","1,355","657","434","379","365","245","424","252","142","171","9","5","0","0"
"","","","","","청소년","시내","6,526","1,547","0","0","0","0","11","5","211","191","150","172","62","72","135","64","123","48","942","97","496","109","569","121","1,044","142","1,615","178","504","137","287","62","108","72","136","42","100","24","33","11","0","0","0","0"
"","","","성거읍","202012","경로","시내","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","어린이","시내","810","459","0","0","0","0","2","1","97","22","91","35","11","4","24","6","21","17","77","44","245","117","62","47","54","60","45","57","42","21","22","18","11","6","3","1","3","3","0","0","0","0","0","0"
"","","","","","일반인","시내","51,583","33,995","0","0","0","0","3,284","1,570","4,409","2,204","4,837","2,831","3,615","1,737","3,438","1,922","2,995","1,716","3,207","2,215","3,510","2,231","3,159","2,258","3,073","2,545","3,346","2,516","3,959","2,464","3,748","2,970","1,851","1,722","1,368","1,258","1,201","1,230","552","563","31","43","0","0"
"","","","","","청소년","시내","10,858","3,769","0","0","0","0","402","28","3,136","194","837","95","366","65","303","75","373","98","514","192","684","347","621","218","638","473","719","672","888","536","502","319","333","195","199","111","228","107","113","41","2","3","0","0"
"","","","성남면","202012","경로","시내","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","어린이","시내","75","36","0","0","0","0","10","3","11","7","11","14","1","0","0","0","0","0","1","2","7","1","5","0","5","1","12","1","2","3","0","0","6","2","4","2","0","0","0","0","0","0","0","0"
"","","","","","일반인","시내","6,438","4,505","0","0","0","0","240","72","600","574","517","294","630","194","655","360","436","306","474","399","454","334","421","276","336","338","382","287","523","264","352","239","164","211","98","162","99","118","52","70","5","7","0","0"
"","","","","","청소년","시내","1,220","260","0","0","0","0","18","9","322","63","106","26","29","3","32","3","34","2","62","16","104","14","70","10","138","22","210","37","31","24","11","6","19","15","26","5","8","4","0","1","0","0","0","0"
"","","","성성동","202012","경로","시내","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","어린이","시내","37","33","0","0","0","0","0","0","0","1","7","0","1","0","1","0","8","1","4","2","6","1","4","11","1","6","1","6","0","1","2","2","2","1","0","1","0","0","0","0","0","0","0","0"
"","","","","","일반인","시내","7,412","5,448","0","0","2","0","119","97","458","467","783","582","399","287","338","264","371","297","373","330","425","314","414","366","414","314","946","442","660","396","563","468","335","260","337","257","332","183","143","123","0","1","0","0"
"","","","","","청소년","시내","1,893","626","0","0","0","0","4","0","124","39","55","71","33","17","52","19","54","23","148","28","126","35","147","38","112","63","370","79","432","71","55","62","44","24","46","25","79","19","12","13","0","0","0","0"
"","","","성정동","202012","경로","시내","16","15","0","0","0","0","2","0","8","0","0","0","2","1","3","2","0","1","0","2","0","0","1","1","0","0","0","0","0","1","0","4","0","3","0","0","0","0","0","0","0","0","0","0"
"","","","","","어린이","시내","452","259","0","0","0","0","0","0","11","2","26","20","25","4","18","6","16","10","14","16","22","29","54","39","103","38","55","22","65","29","29","18","4","17","4","6","6","2","0","0","0","1","0","0"
"","","","","","일반인","시내","119,762","88,117","0","0","0","0","4,440","1,651","8,410","3,666","11,202","7,387","8,993","5,276","7,733","4,891","7,228","4,913","7,417","5,224","8,091","5,730","7,594","5,864","7,900","6,532","7,903","6,766","9,562","7,158","9,707","7,828","4,870","5,302","3,558","3,949","3,014","3,507","1,917","2,170","223","303","0","0"
"","","","","","청소년","시내","9,702","4,663","0","0","0","0","118","23","1,322","111","1,504","256","348","114","265","121","271","145","411","231","566","426","678","391","656","503","885","612","755","569","680","400","379","258","309","194","337","176","212","120","6","13","0","0"
"","","","성환읍","202012","경로","도시철도","9,176","9,309","1","0","194","61","166","117","561","500","737","573","896","605","852","612","715","841","669","974","789","783","875","784","631","833","608","882","731","650","320","513","191","207","125","156","79","133","23","55","13","28","0","2"
"","","","","","","시내","14","11","0","0","0","0","0","0","0","0","0","0","4","1","2","2","1","0","0","0","0","0","0","1","2","2","1","4","0","0","1","1","0","0","0","0","3","0","0","0","0","0","0","0"
"","","","","","국가유공자","도시철도","78","81","0","0","1","0","2","0","1","3","1","9","1","8","12","9","0","7","6","5","5","0","5","17","22","5","5","4","8","4","3","2","0","2","1","1","3","1","2","3","0","1","0","0"
